red: 89.95000576215816 , green: 81.12925460221066 , blue: 53.17114924991733 
red: 89.25471235611488 , green: 80.56801485917896 , blue: 53.00231985140821 
red: 88.45240296518408 , green: 80.61423454939197 , blue: 52.59960436448442 
red: 88.89869061608192 , green: 80.27244558222819 , blue: 52.434969907795995 
red: 88.66112686899794 , green: 79.47533057795427 , blue: 52.0161946054 
red: 90.23219696969696 , green: 80.12723063973064 , blue: 52.71140572390573 
red: 88.03101007411352 , green: 79.85786679536679 , blue: 51.440625970798386 
red: 89.15054484642229 , green: 79.46875755670553 , blue: 52.39649317955623 
red: 88.55725515620568 , green: 79.3100611856234 , blue: 51.92084363223793 
red: 89.7963622355489 , green: 80.05804667110888 , blue: 52.83002665334 
red: 88.34650383141762 , green: 79.8771551724138 , blue: 51.90876436781609 
red: 88.52669498584041 , green: 79.85167832750292 , blue: 51.94808845577211 
red: 88.18264516390454 , green: 79.2490781636209 , blue: 51.62095303699502 
red: 89.02163445304375 , green: 79.70683847265556 , blue: 52.27729175952564 
red: 88.21323564408272 , green: 79.54689619475977 , blue: 51.37303372123462 
red: 89.6277864855451 , green: 80.06500348310692 , blue: 52.52786485545106 
red: 88.35827453068833 , green: 79.21569162330032 , blue: 51.63946356937362 
red: 87.52285343814579 , green: 78.74460067263666 , blue: 51.08176992584789 
red: 88.27739593041318 , green: 79.45109117738428 , blue: 51.572945790618206 
red: 88.99596848401197 , green: 79.7876121463078 , blue: 52.12282608695652 
red: 90.44367816091955 , green: 80.26867816091954 , blue: 52.67177522349936 
red: 90.35329299635896 , green: 80.78687620475478 , blue: 52.7741647033626 
red: 90.12645296621639 , green: 80.38005093378608 , blue: 52.92475947934352 
red: 90.71961721841782 , green: 80.5133804719262 , blue: 53.067260964112535 
red: 91.11762632197414 , green: 80.68987465726596 , blue: 53.41020368194281 
red: 91.31323111330124 , green: 80.98855426253743 , blue: 53.773243369596806 
red: 90.78877631076935 , green: 80.92988720693417 , blue: 53.36737948230186 
red: 91.18814210406317 , green: 81.03607666212976 , blue: 53.31521013686705 
red: 91.55421947004608 , green: 81.1051027265745 , blue: 53.69480446748592 
red: 90.64287180733957 , green: 80.6424693058876 , blue: 52.86973202587895 
red: 90.80975415070242 , green: 80.56538952745849 , blue: 52.624616858237545 
red: 89.88344399228957 , green: 80.65424073677447 , blue: 52.34919683015635 
red: 91.6719990079365 , green: 80.2121398378192 , blue: 53.20096294858523 
red: 91.19643892339545 , green: 80.76053600184035 , blue: 52.636455026455025 
red: 92.68245916724177 , green: 81.14367839889579 , blue: 53.571481481481484 
red: 90.90038819875775 , green: 80.51333678398896 , blue: 52.802231423970554 
red: 91.21506492124308 , green: 80.96892294593445 , blue: 53.16828969774372 
red: 88.80787037037038 , green: 80.97887470804139 , blue: 52.257632632632635 
red: 90.63898847359945 , green: 80.60300025425883 , blue: 53.23640774641919 
red: 91.44176785481133 , green: 81.19351525438482 , blue: 53.92102319711016 
red: 90.83892288090189 , green: 81.58497703100402 , blue: 53.831256293775034 
red: 91.42634847989538 , green: 81.5639424648578 , blue: 54.42499182739458 
red: 90.40711152882206 , green: 81.67453790726817 , blue: 53.73457080200501 
red: 91.49356378760427 , green: 81.6703465352266 , blue: 54.18286223683525 
red: 91.24021879021879 , green: 81.28779761904761 , blue: 53.72966537966538 
red: 89.53022812917865 , green: 80.96565906236071 , blue: 52.50194497345922 
red: 89.47961639058414 , green: 81.21635571054927 , blue: 52.622929380993895 
red: 89.80874935995904 , green: 81.2975870455709 , blue: 52.9592773937532 
red: 88.62148786717752 , green: 80.15707215836525 , blue: 51.945290549169854 
red: 88.147883306504 , green: 78.98491767629699 , blue: 51.3489352989353 
red: 87.56585873729802 , green: 79.50498084291188 , blue: 51.43095119107113 
red: 88.29940476190475 , green: 79.15731566820276 , blue: 51.51839477726574 
red: 87.02361111111111 , green: 77.8587962962963 , blue: 50.248842592592595 
red: 87.36779513888888 , green: 77.31119791666666 , blue: 50.369531249999994 
red: 88.52568312198068 , green: 77.8173648852657 , blue: 50.79397644927536 
red: 85.8551883780332 , green: 77.30842911877394 , blue: 49.172701149425286 
red: 87.64648673138177 , green: 76.67364550048208 , blue: 50.00047451021963 
red: 85.33709677419355 , green: 75.83409090909092 , blue: 48.69515314434669 
red: 86.59752284752284 , green: 76.36623526936026 , blue: 49.21795484607985 
red: 84.30020449208436 , green: 75.15550387074302 , blue: 47.972549465736336 
red: 84.15442442861797 , green: 74.30071742773356 , blue: 47.31643334264302 
red: 83.84390269151139 , green: 74.70365424430642 , blue: 47.5375983436853 
red: 83.96369141919753 , green: 74.54666380153031 , blue: 47.53497573060977 
red: 83.88671339835133 , green: 74.88222744688261 , blue: 47.779565772669216 
red: 84.33088549132027 , green: 75.35617136486701 , blue: 48.04072304507088 
red: 86.0956043956044 , green: 75.44575091575092 , blue: 48.282271062271064 
red: 85.82173113624727 , green: 76.01711527719593 , blue: 48.49009391146488 
red: 85.81730615107193 , green: 76.26726106992587 , blue: 48.75620116209176 
red: 88.32792792792793 , green: 78.52402012402013 , blue: 51.15741341991342 
red: 88.50142857142856 , green: 79.62317099567099 , blue: 51.88875541125541 
red: 88.60842352092351 , green: 79.4761123136123 , blue: 52.15106421356421 
red: 89.37967171717172 , green: 79.77794612794614 , blue: 52.13468013468014 
red: 88.60133655394526 , green: 80.10560386473429 , blue: 52.293326432022084 
red: 89.66877104377105 , green: 80.48065175565176 , blue: 52.66178451178451 
red: 89.79670988240969 , green: 80.40444190697741 , blue: 52.61995914835671 
red: 91.03466620762018 , green: 81.08362187684438 , blue: 53.39889500950882 
red: 90.24722180756663 , green: 80.77610920369541 , blue: 52.91896302930786 
red: 91.6006636018908 , green: 80.20524907796997 , blue: 53.48657212612332 
red: 90.20082458770614 , green: 80.7086956521739 , blue: 52.70333047761834 
red: 89.8942151399048 , green: 80.4216010681528 , blue: 52.520042377801 
red: 90.37852664576803 , green: 80.67755137582725 , blue: 52.9647480552653 
red: 90.5597743228178 , green: 80.10951369429631 , blue: 52.5248350357046 
red: 90.94755560008014 , green: 80.6152018076983 , blue: 53.02755237204747 
red: 90.14236411736411 , green: 80.92463924963926 , blue: 52.79675324675325 
red: 90.27783027783028 , green: 80.54832892332892 , blue: 52.907634032634036 
red: 90.70574290846031 , green: 81.144792827945 , blue: 53.22033166109253 
red: 91.104803992304 , green: 80.90430495430496 , blue: 52.69504569504569 
red: 91.04747474747475 , green: 81.21813973063973 , blue: 53.253787878787875 
red: 90.24890729238555 , green: 80.97102599493903 , blue: 52.62546353807223 
red: 90.63821548821548 , green: 80.35118446368446 , blue: 52.43106060606061 
red: 90.77556375771059 , green: 80.81810092021438 , blue: 52.720842061164646 
red: 90.89701518288476 , green: 80.44008511617207 , blue: 52.680334138486316 
red: 90.71670117322292 , green: 81.49945887445887 , blue: 53.12534192860279 
red: 90.02430064188684 , green: 80.57494700701596 , blue: 52.323176593521424 
red: 89.49477981788326 , green: 80.67172115241081 , blue: 51.91459919390954 
red: 91.90506599378882 , green: 80.78031832298137 , blue: 52.98179347826087 
red: 91.1785948566121 , green: 80.47056774642982 , blue: 52.47576192964124 
red: 91.38978494623656 , green: 80.55968521115787 , blue: 52.6332865825152 
red: 90.28181382793451 , green: 80.54269853709509 , blue: 52.34689422965285 
red: 91.90736352253981 , green: 80.59513724320635 , blue: 52.96271487911958 
red: 92.75847920195747 , green: 80.75910551217898 , blue: 53.40996060411352 
red: 91.66163233318406 , green: 80.28090153381102 , blue: 52.9591328929691 
