time: 1.3791 , HR: 0.00 
time: 1.4401 , HR: 0.00 
time: 1.4828 , HR: 0.00 
time: 1.5165 , HR: 0.00 
time: 1.5476 , HR: 0.00 
time: 1.5797 , HR: 0.00 
time: 1.6122 , HR: 0.00 
time: 1.6443 , HR: 0.00 
time: 1.6761 , HR: 0.00 
time: 1.7079 , HR: 0.00 
time: 1.7416 , HR: 0.00 
time: 1.7726 , HR: 0.00 
time: 1.8047 , HR: 0.00 
time: 1.8371 , HR: 0.00 
time: 1.8694 , HR: 0.00 
time: 1.9012 , HR: 0.00 
time: 1.9330 , HR: 0.00 
time: 1.9649 , HR: 0.00 
time: 1.9968 , HR: 0.00 
time: 2.0291 , HR: 0.00 
time: 2.0671 , HR: 0.00 
time: 2.0993 , HR: 0.00 
time: 2.1313 , HR: 0.00 
time: 2.1631 , HR: 0.00 
time: 2.1947 , HR: 0.00 
time: 2.2263 , HR: 0.00 
time: 2.2581 , HR: 0.00 
time: 2.2901 , HR: 0.00 
time: 2.3217 , HR: 0.00 
time: 2.3556 , HR: 0.00 
time: 2.3878 , HR: 0.00 
time: 2.4192 , HR: 0.00 
time: 2.4508 , HR: 0.00 
time: 2.4827 , HR: 0.00 
time: 2.5138 , HR: 0.00 
time: 2.5457 , HR: 0.00 
time: 2.5763 , HR: 0.00 
time: 2.6069 , HR: 0.00 
time: 2.6386 , HR: 0.00 
time: 2.6722 , HR: 0.00 
time: 2.7045 , HR: 0.00 
time: 2.7372 , HR: 0.00 
time: 2.7703 , HR: 0.00 
time: 2.8031 , HR: 0.00 
time: 2.8357 , HR: 0.00 
time: 2.8684 , HR: 0.00 
time: 2.9011 , HR: 0.00 
time: 2.9340 , HR: 0.00 
time: 2.9690 , HR: 0.00 
time: 3.0033 , HR: 0.00 
time: 3.0365 , HR: 0.00 
time: 3.0694 , HR: 0.00 
time: 3.1022 , HR: 0.00 
time: 3.1350 , HR: 0.00 
time: 3.1693 , HR: 0.00 
time: 3.2004 , HR: 0.00 
time: 3.2324 , HR: 0.00 
time: 3.2668 , HR: 0.00 
time: 3.2988 , HR: 0.00 
time: 3.3308 , HR: 0.00 
time: 3.3625 , HR: 0.00 
time: 3.3948 , HR: 0.00 
time: 3.4263 , HR: 0.00 
time: 3.4585 , HR: 0.00 
time: 3.4902 , HR: 0.00 
time: 3.5219 , HR: 0.00 
time: 3.5558 , HR: 0.00 
time: 3.5889 , HR: 0.00 
time: 3.6230 , HR: 0.00 
time: 3.6554 , HR: 0.00 
time: 3.6882 , HR: 0.00 
time: 3.7206 , HR: 0.00 
time: 3.7528 , HR: 0.00 
time: 3.7850 , HR: 0.00 
time: 3.8170 , HR: 0.00 
time: 3.8511 , HR: 0.00 
time: 3.8822 , HR: 0.00 
time: 3.9140 , HR: 0.00 
time: 3.9461 , HR: 0.00 
time: 3.9777 , HR: 0.00 
time: 4.0092 , HR: 0.00 
time: 4.0407 , HR: 0.00 
time: 4.0759 , HR: 0.00 
time: 4.1080 , HR: 0.00 
time: 4.1400 , HR: 0.00 
time: 4.1758 , HR: 0.00 
time: 4.2077 , HR: 0.00 
time: 4.2396 , HR: 0.00 
time: 4.2758 , HR: 0.00 
time: 4.3080 , HR: 0.00 
time: 4.3397 , HR: 0.00 
time: 4.3719 , HR: 0.00 
time: 4.4076 , HR: 0.00 
time: 4.4398 , HR: 0.00 
time: 4.4734 , HR: 0.00 
time: 4.5079 , HR: 0.00 
time: 4.5399 , HR: 0.00 
time: 4.5720 , HR: 0.00 
time: 4.6083 , HR: 0.00 
time: 4.6400 , HR: 55.20 
time: 4.6729 , HR: 55.68 
time: 4.7077 , HR: 55.81 
time: 4.7407 , HR: 55.83 
time: 4.7980 , HR: 55.38 
time: 4.8350 , HR: 55.29 
time: 4.8760 , HR: 55.15 
time: 4.9181 , HR: 54.98 
time: 4.9661 , HR: 54.71 
time: 4.9990 , HR: 54.69 
time: 5.0320 , HR: 54.71 
time: 5.0728 , HR: 54.54 
time: 5.1084 , HR: 54.49 
time: 5.1426 , HR: 54.46 
time: 5.1762 , HR: 54.43 
time: 5.2094 , HR: 54.41 
time: 5.2422 , HR: 54.39 
time: 5.2752 , HR: 54.38 
time: 5.3078 , HR: 54.36 
time: 5.3400 , HR: 54.37 
time: 5.3806 , HR: 54.32 
time: 5.4155 , HR: 54.28 
time: 5.4493 , HR: 54.25 
time: 5.4828 , HR: 54.22 
time: 5.5162 , HR: 54.19 
time: 5.5493 , HR: 54.17 
time: 5.5826 , HR: 54.14 
time: 5.6156 , HR: 54.13 
time: 5.6562 , HR: 53.98 
time: 5.6936 , HR: 53.92 
time: 5.7290 , HR: 53.87 
time: 5.7625 , HR: 53.84 
time: 5.7957 , HR: 53.81 
time: 5.8285 , HR: 53.80 
time: 5.8612 , HR: 53.77 
time: 5.8944 , HR: 53.75 
time: 5.9276 , HR: 53.71 
time: 5.9678 , HR: 53.56 
time: 6.0030 , HR: 53.50 
time: 6.0364 , HR: 53.50 
time: 6.0701 , HR: 53.48 
time: 6.1025 , HR: 53.49 
time: 6.1357 , HR: 53.48 
time: 6.1688 , HR: 53.48 
time: 6.2016 , HR: 53.48 
time: 6.2342 , HR: 53.48 
time: 6.2874 , HR: 53.16 
time: 6.3258 , HR: 53.07 
time: 6.3607 , HR: 53.07 
time: 6.3937 , HR: 53.09 
time: 6.4268 , HR: 53.09 
time: 6.4600 , HR: 53.09 
time: 6.4939 , HR: 53.07 
time: 6.5278 , HR: 53.05 
time: 6.5694 , HR: 88.23 
time: 6.6047 , HR: 88.12 
time: 6.6381 , HR: 88.09 
time: 6.6712 , HR: 88.12 
time: 6.7051 , HR: 88.07 
time: 6.7389 , HR: 88.03 
time: 6.7725 , HR: 87.98 
time: 6.8057 , HR: 87.95 
time: 6.8387 , HR: 87.92 
time: 6.8901 , HR: 87.42 
time: 6.9254 , HR: 87.33 
time: 6.9592 , HR: 87.28 
time: 6.9924 , HR: 87.30 
time: 7.0255 , HR: 87.30 
time: 7.0588 , HR: 87.32 
time: 7.0919 , HR: 87.30 
time: 7.1247 , HR: 87.30 
time: 7.1650 , HR: 87.10 
time: 7.2004 , HR: 87.02 
time: 7.2445 , HR: 86.72 
time: 7.2778 , HR: 86.69 
time: 7.3111 , HR: 86.71 
time: 7.3440 , HR: 86.66 
time: 7.3768 , HR: 86.64 
time: 7.4100 , HR: 86.61 
time: 7.4660 , HR: 86.00 
time: 7.5006 , HR: 85.92 
time: 7.5342 , HR: 103.05 
time: 7.5682 , HR: 103.08 
time: 7.6026 , HR: 103.02 
time: 7.6379 , HR: 102.92 
time: 7.6725 , HR: 102.96 
time: 7.7062 , HR: 102.90 
time: 7.7381 , HR: 51.45 
time: 7.7841 , HR: 51.31 
time: 7.8202 , HR: 51.25 
time: 7.8584 , HR: 51.15 
time: 7.8918 , HR: 51.14 
time: 7.9253 , HR: 51.17 
time: 7.9590 , HR: 51.15 
time: 7.9915 , HR: 51.16 
time: 8.0243 , HR: 51.19 
time: 8.0697 , HR: 50.99 
time: 8.1072 , HR: 50.92 
time: 8.1413 , HR: 50.95 
time: 8.1752 , HR: 50.92 
time: 8.2088 , HR: 50.91 
time: 8.2427 , HR: 50.92 
time: 8.2766 , HR: 50.91 
time: 8.3106 , HR: 51.24 
time: 8.3433 , HR: 51.31 
time: 8.3843 , HR: 51.31 
time: 8.4194 , HR: 51.41 
time: 8.4522 , HR: 51.63 
time: 8.4849 , HR: 51.64 
time: 8.5183 , HR: 51.63 
time: 8.5510 , HR: 51.75 
time: 8.5840 , HR: 51.79 
time: 8.6168 , HR: 51.81 
time: 8.6575 , HR: 51.70 
time: 8.6926 , HR: 51.68 
time: 8.7320 , HR: 51.58 
time: 8.7654 , HR: 51.57 
time: 8.7988 , HR: 51.56 
time: 8.8318 , HR: 51.55 
time: 8.8650 , HR: 51.66 
time: 8.8988 , HR: 51.68 
time: 8.9319 , HR: 51.69 
time: 8.9712 , HR: 51.60 
time: 9.0056 , HR: 51.58 
time: 9.0389 , HR: 51.58 
time: 9.0723 , HR: 51.58 
time: 9.1056 , HR: 51.58 
time: 9.1387 , HR: 51.69 
time: 9.1720 , HR: 51.75 
time: 9.2049 , HR: 51.79 
time: 9.2377 , HR: 51.80 
time: 9.2771 , HR: 51.70 
time: 9.3139 , HR: 51.64 
time: 9.3477 , HR: 51.63 
time: 9.3810 , HR: 51.63 
time: 9.4145 , HR: 51.62 
time: 9.4473 , HR: 51.73 
time: 9.4800 , HR: 51.77 
time: 9.5133 , HR: 51.77 
time: 9.5533 , HR: 51.68 
time: 9.5888 , HR: 51.63 
time: 9.6223 , HR: 51.63 
time: 9.6555 , HR: 51.62 
time: 9.6886 , HR: 51.62 
time: 9.7216 , HR: 51.62 
time: 9.7548 , HR: 51.91 
time: 9.7881 , HR: 51.99 
time: 9.8211 , HR: 52.02 
time: 9.8606 , HR: 51.92 
time: 9.8963 , HR: 51.88 
time: 9.9297 , HR: 51.88 
time: 9.9631 , HR: 51.89 
time: 9.9965 , HR: 51.89 
time: 10.0300 , HR: 52.01 
time: 10.0635 , HR: 52.04 
time: 10.0970 , HR: 52.04 
time: 10.1302 , HR: 52.04 
time: 10.1715 , HR: 51.93 
time: 10.2077 , HR: 51.89 
time: 10.2423 , HR: 51.88 
time: 10.2758 , HR: 51.87 
time: 10.3103 , HR: 51.85 
time: 10.3438 , HR: 52.12 
time: 10.3770 , HR: 52.15 
time: 10.4100 , HR: 52.16 
time: 10.4507 , HR: 52.05 
time: 10.4851 , HR: 52.03 
time: 10.5186 , HR: 52.03 
time: 10.5529 , HR: 52.01 
time: 10.5855 , HR: 52.01 
time: 10.6189 , HR: 52.11 
time: 10.6523 , HR: 52.15 
time: 10.6862 , HR: 52.30 
time: 10.7192 , HR: 52.30 
time: 10.7690 , HR: 52.05 
time: 10.8035 , HR: 52.03 
time: 10.8366 , HR: 52.03 
time: 10.8701 , HR: 52.02 
time: 10.9036 , HR: 52.36 
time: 10.9367 , HR: 52.38 
time: 10.9699 , HR: 52.39 
time: 11.0040 , HR: 52.39 
time: 11.0368 , HR: 52.41 
time: 11.0773 , HR: 52.34 
time: 11.1129 , HR: 52.32 
time: 11.1453 , HR: 52.34 
time: 11.1775 , HR: 52.34 
time: 11.2105 , HR: 52.53 
time: 11.2432 , HR: 52.58 
time: 11.2770 , HR: 52.65 
time: 11.3102 , HR: 52.66 
time: 11.3505 , HR: 52.55 
time: 11.3852 , HR: 52.54 
time: 11.4184 , HR: 52.53 
time: 11.4513 , HR: 52.52 
time: 11.4847 , HR: 52.71 
time: 11.5180 , HR: 52.77 
time: 11.5506 , HR: 52.80 
time: 11.5832 , HR: 52.82 
time: 11.6161 , HR: 52.83 
time: 11.6561 , HR: 52.73 
time: 11.6905 , HR: 52.73 
time: 11.7235 , HR: 52.74 
time: 11.7565 , HR: 52.74 
time: 11.7895 , HR: 52.86 
time: 11.8225 , HR: 52.89 
time: 11.8554 , HR: 52.89 
time: 11.8887 , HR: 52.88 
time: 11.9219 , HR: 52.89 
time: 11.9621 , HR: 52.77 
time: 11.9965 , HR: 52.75 
time: 12.0288 , HR: 52.75 
